Entity_A,Entity_B,Type,Score
BRCA1,RAD51D,protein-protein,0.505
BRCA1,PCNA,protein-protein,0.53
BRCA1,RPA2A,protein-protein,0.541
BRCA1,RING1A,protein-protein,0.595
BRCA1,UVH1,protein-protein,0.599
BRCA1,NRPA1,protein-protein,0.671
BRCA1,RECQL3,protein-protein,0.697
BRCA1,XRCC3,protein-protein,0.744
BRCA1,LIG4,protein-protein,0.757
BRCA1,KU70,protein-protein,0.829
BRCA1,PARP1,protein-protein,0.845
BRCA1,MLH1,protein-protein,0.864
BRCA1,LHCB3,protein-protein,0.872
BRCA1,KU80,protein-protein,0.881
BRCA1,MRE11,protein-protein,0.943
BRCA1,RAD50,protein-protein,0.974
BRCA1,ATR,protein-protein,0.974
BRCA1,ATM,protein-protein,0.981
INO80,PARP1,protein-protein,0.4
INO80,NRPA1,protein-protein,0.403
INO80,HAG1,protein-protein,0.405
INO80,PCNA,protein-protein,0.463
INO80,NRPB6A,protein-protein,0.551
INO80,SWC6,protein-protein,0.899
SWI3D,HAG1,protein-protein,0.665
SWI3A,HAG1,protein-protein,0.696
ARP5,SWC6,protein-protein,0.54
REV7,MRE11,protein-protein,0.414
REV7,UVH1,protein-protein,0.465
REV7,ATR,protein-protein,0.512
REV7,RAD51B,protein-protein,0.522
REV7,RAD51D,protein-protein,0.535
REV7,ERCC1,protein-protein,0.549
REV7,RPA2A,protein-protein,0.703
REV7,KU70,protein-protein,0.747
REV7,KU80,protein-protein,0.77
REV7,XRCC3,protein-protein,0.786
REV7,PCNA,protein-protein,0.848
REV7,LIG4,protein-protein,0.866
HAG1,KU80,protein-protein,0.477
HAG1,SWI3C,protein-protein,0.748
PARP3,PCNA,protein-protein,0.459
PARP3,ATR,protein-protein,0.462
PARP3,LHCB3,protein-protein,0.523
PARP3,MRE11,protein-protein,0.526
PARP3,RPA2A,protein-protein,0.583
PARP3,RAD50,protein-protein,0.604
PARP3,UVH1,protein-protein,0.613
PARP3,LIG4,protein-protein,0.653
PARP3,ERCC1,protein-protein,0.723
PARP3,BHLH140,protein-protein,0.845
PARP3,PARP1,protein-protein,0.926
PARP3,KU70,protein-protein,0.939
PARP3,KU80,protein-protein,0.945
XRCC3,BHLH140,protein-protein,0.58
XRCC3,RPA2A,protein-protein,0.596
XRCC3,UVH1,protein-protein,0.706
XRCC3,ATR,protein-protein,0.727
XRCC3,PCNA,protein-protein,0.763
XRCC3,LHCB3,protein-protein,0.779
XRCC3,MLH1,protein-protein,0.8
XRCC3,ATM,protein-protein,0.801
XRCC3,KU70,protein-protein,0.803
XRCC3,KU80,protein-protein,0.859
XRCC3,LIG4,protein-protein,0.863
XRCC3,RECQL3,protein-protein,0.867
XRCC3,ERCC1,protein-protein,0.874
XRCC3,RAD51B,protein-protein,0.945
XRCC3,RAD51D,protein-protein,0.947
XRCC3,MRE11,protein-protein,0.95
XRCC3,RAD50,protein-protein,0.952
ATR,MLH1,protein-protein,0.56
ATR,PARP1,protein-protein,0.616
ATR,BHLH140,protein-protein,0.643
ATR,RAD51B,protein-protein,0.654
ATR,PCNA,protein-protein,0.667
ATR,RAD51D,protein-protein,0.807
ATR,LIG4,protein-protein,0.884
ATR,KU80,protein-protein,0.893
ATR,RECQL3,protein-protein,0.931
ATR,ERCC1,protein-protein,0.943
ATR,UVH1,protein-protein,0.953
ATR,KU70,protein-protein,0.957
ATR,LHCB3,protein-protein,0.973
ATR,RPA2A,protein-protein,0.974
ATR,ATM,protein-protein,0.992
ATR,MRE11,protein-protein,0.992
ATR,RAD50,protein-protein,0.995
KU70,RAD51D,protein-protein,0.601
KU70,PCNA,protein-protein,0.629
KU70,MLH1,protein-protein,0.669
KU70,RPA2A,protein-protein,0.689
KU70,RAD51B,protein-protein,0.734
KU70,UVH1,protein-protein,0.812
KU70,ERCC1,protein-protein,0.891
KU70,BHLH140,protein-protein,0.904
KU70,RECQL3,protein-protein,0.908
KU70,PARP1,protein-protein,0.942
KU70,ATM,protein-protein,0.954
KU70,LHCB3,protein-protein,0.979
KU70,MRE11,protein-protein,0.992
KU70,RAD50,protein-protein,0.995
KU70,LIG4,protein-protein,0.999
KU70,KU80,protein-protein,0.999
KU80,MLH1,protein-protein,0.416
KU80,PCNA,protein-protein,0.578
KU80,RAD51D,protein-protein,0.687
KU80,RECQL3,protein-protein,0.689
KU80,RAD51B,protein-protein,0.78
KU80,UVH1,protein-protein,0.792
KU80,BHLH140,protein-protein,0.885
KU80,ERCC1,protein-protein,0.898
KU80,PARP1,protein-protein,0.942
KU80,ATM,protein-protein,0.945
KU80,RAD50,protein-protein,0.967
KU80,LHCB3,protein-protein,0.974
KU80,MRE11,protein-protein,0.99
KU80,LIG4,protein-protein,0.999
RECQL3,RAD51B,protein-protein,0.528
RECQL3,BHLH140,protein-protein,0.556
RECQL3,PCNA,protein-protein,0.691
RECQL3,RPA2A,protein-protein,0.728
RECQL3,ATM,protein-protein,0.746
RECQL3,ERCC1,protein-protein,0.76
RECQL3,LHCB3,protein-protein,0.822
RECQL3,MRE11,protein-protein,0.822
RECQL3,RAD51D,protein-protein,0.83
RECQL3,RAD50,protein-protein,0.841
RECQL3,UVH1,protein-protein,0.856
RECQL3,MLH1,protein-protein,0.874
UVH1,BHLH140,protein-protein,0.544
UVH1,RAD51B,protein-protein,0.609
UVH1,RAD51D,protein-protein,0.609
UVH1,PARP1,protein-protein,0.66
UVH1,LHCB3,protein-protein,0.685
UVH1,LIG4,protein-protein,0.713
UVH1,RAD50,protein-protein,0.739
UVH1,ATM,protein-protein,0.814
UVH1,MRE11,protein-protein,0.86
UVH1,MLH1,protein-protein,0.895
UVH1,PCNA,protein-protein,0.904
UVH1,RPA2A,protein-protein,0.947
UVH1,ERCC1,protein-protein,0.999
LIG4,NRPA1,protein-protein,0.468
LIG4,RPA2A,protein-protein,0.602
LIG4,MLH1,protein-protein,0.646
LIG4,ATM,protein-protein,0.67
LIG4,LHCB3,protein-protein,0.705
LIG4,RAD51B,protein-protein,0.785
LIG4,PARP1,protein-protein,0.871
LIG4,RAD50,protein-protein,0.876
LIG4,ERCC1,protein-protein,0.893
LIG4,MRE11,protein-protein,0.913
LIG4,PCNA,protein-protein,0.943
LIG4,BHLH140,protein-protein,0.965
RAD51D,RPA2A,protein-protein,0.482
RAD51D,MLH1,protein-protein,0.5
RAD51D,PCNA,protein-protein,0.626
RAD51D,LHCB3,protein-protein,0.627
RAD51D,ATM,protein-protein,0.679
RAD51D,ERCC1,protein-protein,0.745
RAD51D,RAD50,protein-protein,0.834
RAD51D,MRE11,protein-protein,0.844
RAD51D,RAD51B,protein-protein,0.85
BHLH140,MLH1,protein-protein,0.405
BHLH140,ATM,protein-protein,0.499
BHLH140,MRE11,protein-protein,0.558
BHLH140,PARP1,protein-protein,0.617
BHLH140,ERCC1,protein-protein,0.735
ATM,NRPA1,protein-protein,0.45
ATM,PCNA,protein-protein,0.517
ATM,RAD51B,protein-protein,0.542
ATM,ERCC1,protein-protein,0.671
ATM,MLH1,protein-protein,0.749
ATM,RPA2A,protein-protein,0.791
ATM,LHCB3,protein-protein,0.964
ATM,MRE11,protein-protein,0.992
ATM,RAD50,protein-protein,0.996
PCNA,ERCC1,protein-protein,0.453
PCNA,LHCB3,protein-protein,0.532
PCNA,PARP1,protein-protein,0.549
PCNA,RAD51B,protein-protein,0.626
PCNA,RPA2A,protein-protein,0.947
PCNA,MLH1,protein-protein,0.958
ERCC1,NRPA1,protein-protein,0.408
ERCC1,LHCB3,protein-protein,0.454
ERCC1,PARP1,protein-protein,0.639
ERCC1,RAD51B,protein-protein,0.792
ERCC1,MRE11,protein-protein,0.827
ERCC1,RPA2A,protein-protein,0.827
ERCC1,RAD50,protein-protein,0.847
ERCC1,MLH1,protein-protein,0.947
LHCB3,MLH1,protein-protein,0.433
LHCB3,PARP1,protein-protein,0.523
LHCB3,RAD51B,protein-protein,0.627
LHCB3,RPA2A,protein-protein,0.658
LHCB3,RAD50,protein-protein,0.998
RAD51B,RPA2A,protein-protein,0.482
RAD51B,MLH1,protein-protein,0.599
RAD51B,RAD50,protein-protein,0.784
RAD51B,MRE11,protein-protein,0.824
RAD50,MLH1,protein-protein,0.601
RAD50,PARP1,protein-protein,0.611
RAD50,RPA2A,protein-protein,0.738
NRPA1,RPA2A,protein-protein,0.795
MRE11,PARP1,protein-protein,0.63
MRE11,MLH1,protein-protein,0.728
MRE11,RPA2A,protein-protein,0.772
PARP1,RPA2A,protein-protein,0.679
RPA2A,MLH1,protein-protein,0.611
NUP155,HDA19,protein-protein,0.495
NUP93A,HDA19,protein-protein,0.434
HDA19,PIF3,protein-protein,0.406
HDA19,MYC2,protein-protein,0.435
HDA19,SWI3A,protein-protein,0.452
HDA19,HSP90-7,protein-protein,0.459
HDA19,NPR1,protein-protein,0.46
HDA19,DET1,protein-protein,0.461
HDA19,PHYA,protein-protein,0.463
HDA19,AUX1,protein-protein,0.47
HDA19,SKIP,protein-protein,0.474
HDA19,ADO3,protein-protein,0.482
HDA19,MBD4L,protein-protein,0.49
HDA19,PAO3,protein-protein,0.501
HDA19,PAO2,protein-protein,0.501
HDA19,PDS,protein-protein,0.501
HDA19,BSH,protein-protein,0.516
HDA19,HYH,protein-protein,0.516
HDA19,LHY,protein-protein,0.531
HDA19,HAC1,protein-protein,0.54
HDA19,GI,protein-protein,0.544
HDA19,ABI5,protein-protein,0.574
HDA19,BRI1,protein-protein,0.616
HDA19,PHYB,protein-protein,0.659
HDA19,HAC12,protein-protein,0.665
HDA19,SCE1,protein-protein,0.673
HDA19,HY5,protein-protein,0.682
HDA19,APRR1,protein-protein,0.747
HDA19,APRR5,protein-protein,0.765
HDA19,TAF1,protein-protein,0.771
HDA19,SUVH5,protein-protein,0.775
HDA19,EHD1,protein-protein,0.795
MSI1,PAO3,protein-protein,0.416
MSI1,PDS,protein-protein,0.416
MSI1,PAO2,protein-protein,0.418
MSI1,SUVH5,protein-protein,0.506
MSI1,MBD4L,protein-protein,0.553
BRI1,HSP70-4,protein-protein,0.43
BRI1,HY5,protein-protein,0.577
BRI1,PHYA,protein-protein,0.588
BRI1,PHYB,protein-protein,0.616
BRI1,ABI5,protein-protein,0.632
BRI1,PIF3,protein-protein,0.64
BRI1,MYC2,protein-protein,0.718
BRI1,NPR1,protein-protein,0.729
BRI1,AUX1,protein-protein,0.81
MSI4,PAO2,protein-protein,0.416
MSI4,PDS,protein-protein,0.416
MSI4,PAO3,protein-protein,0.416
MSI4,APRR1,protein-protein,0.513
MSI4,MBD4L,protein-protein,0.553
MSI4,DET1,protein-protein,0.554
MSI4,PHYB,protein-protein,0.557
MSI4,ADO3,protein-protein,0.696
MSI4,GI,protein-protein,0.697
MSI4,LHY,protein-protein,0.701
MSI4,PHYA,protein-protein,0.706
ATXR3,HAC12,protein-protein,0.401
ATXR3,TAF1,protein-protein,0.436
ATXR3,LHY,protein-protein,0.552
ATXR3,APRR1,protein-protein,0.638
ATXR3,SUVH5,protein-protein,0.642
HY5,HSP70-4,protein-protein,0.442
HY5,PKL,protein-protein,0.51
HY5,TAF1,protein-protein,0.528
HY5,AUX1,protein-protein,0.598
HY5,ADO3,protein-protein,0.674
HY5,GI,protein-protein,0.715
HY5,APRR5,protein-protein,0.721
HY5,ABI5,protein-protein,0.793
HY5,APRR1,protein-protein,0.795
HY5,LHY,protein-protein,0.869
HY5,MYC2,protein-protein,0.871
HY5,PHYA,protein-protein,0.941
HY5,PHYB,protein-protein,0.948
HY5,DET1,protein-protein,0.963
HY5,PIF3,protein-protein,0.978
HY5,HYH,protein-protein,0.991
PIF3,ABI5,protein-protein,0.598
PIF3,AUX1,protein-protein,0.72
PIF3,GI,protein-protein,0.783
PIF3,LHY,protein-protein,0.796
PIF3,DET1,protein-protein,0.847
PIF3,ADO3,protein-protein,0.866
PIF3,APRR5,protein-protein,0.888
PIF3,HYH,protein-protein,0.899
PIF3,APRR1,protein-protein,0.962
PIF3,PHYA,protein-protein,0.999
PIF3,PHYB,protein-protein,0.999
SKIP,SRT2,protein-protein,0.414
SKIP,APRR5,protein-protein,0.431
SKIP,HAC12,protein-protein,0.44
SKIP,DET1,protein-protein,0.533
SKIP,GI,protein-protein,0.581
SKIP,LHY,protein-protein,0.671
SKIP,HAG1,protein-protein,0.681
SKIP,APRR1,protein-protein,0.699
SUVH5,SRT1,protein-protein,0.427
SUVH5,FIE,protein-protein,0.704
SUVH5,ATXR5,protein-protein,0.796
SUVH5,DMT1,protein-protein,0.887
PHYA,MYC2,protein-protein,0.573
PHYA,ABI5,protein-protein,0.575
PHYA,APRR5,protein-protein,0.79
PHYA,DET1,protein-protein,0.821
PHYA,PHYB,protein-protein,0.887
PHYA,LHY,protein-protein,0.896
PHYA,APRR1,protein-protein,0.898
PHYA,HYH,protein-protein,0.916
PHYA,ADO3,protein-protein,0.928
PHYA,GI,protein-protein,0.931
PHYA,AUX1,protein-protein,0.936
PHYB,HSP70-4,protein-protein,0.414
PHYB,PKL,protein-protein,0.435
PHYB,EHD1,protein-protein,0.44
PHYB,SWC6,protein-protein,0.572
PHYB,MYC2,protein-protein,0.717
PHYB,ABI5,protein-protein,0.72
PHYB,HYH,protein-protein,0.806
PHYB,APRR5,protein-protein,0.829
PHYB,AUX1,protein-protein,0.829
PHYB,DET1,protein-protein,0.871
PHYB,ADO3,protein-protein,0.9
PHYB,GI,protein-protein,0.927
PHYB,LHY,protein-protein,0.94
PHYB,APRR1,protein-protein,0.961
DET1,PDS,protein-protein,0.517
DET1,ADO3,protein-protein,0.654
DET1,APRR5,protein-protein,0.696
DET1,GI,protein-protein,0.764
DET1,APRR1,protein-protein,0.765
DET1,HYH,protein-protein,0.835
DET1,LHY,protein-protein,0.841
NPR1,ABI5,protein-protein,0.521
NPR1,AUX1,protein-protein,0.747
PDS,HSP70-4,protein-protein,0.492
PDS,PKL,protein-protein,0.575
MBD4L,PKL,protein-protein,0.592
MYC2,APRR1,protein-protein,0.478
MYC2,ABI5,protein-protein,0.778
MYC2,AUX1,protein-protein,0.793
SCE1,HAC12,protein-protein,0.439
SCE1,HSP70-4,protein-protein,0.457
APRR5,HYH,protein-protein,0.409
APRR5,APRR1,protein-protein,0.861
APRR5,GI,protein-protein,0.953
APRR5,ADO3,protein-protein,0.971
APRR5,LHY,protein-protein,0.985
LHY,HSP70-4,protein-protein,0.417
LHY,EHD1,protein-protein,0.572
LHY,HYH,protein-protein,0.641
LHY,ADO3,protein-protein,0.926
LHY,GI,protein-protein,0.973
LHY,APRR1,protein-protein,0.99
SUVH4,SRT2,protein-protein,0.446
SUVH4,SRT1,protein-protein,0.488
SUVH4,HAG1,protein-protein,0.52
TAF1,SRT1,protein-protein,0.464
TAF1,SRT2,protein-protein,0.477
TAF1,HAC1,protein-protein,0.718
TAF1,HAC12,protein-protein,0.774
TAF1,HAG1,protein-protein,0.864
HAC1,SRT1,protein-protein,0.427
HAC1,HAG1,protein-protein,0.791
HAC1,HAC12,protein-protein,0.806
ATXR5,SWC6,protein-protein,0.478
ATXR5,SRT2,protein-protein,0.674
HYH,GI,protein-protein,0.433
HYH,ABI5,protein-protein,0.542
HYH,APRR1,protein-protein,0.575
SWI3A,PKL,protein-protein,0.413
EHD1,ADO3,protein-protein,0.541
EHD1,GI,protein-protein,0.713
EHD1,APRR1,protein-protein,0.718
AUX1,HSP70-4,protein-protein,0.465
AUX1,ABI5,protein-protein,0.698
HAG1,HAC12,protein-protein,0.819
ADO3,APRR1,protein-protein,0.977
ADO3,GI,protein-protein,0.999
RIN1,HAC12,protein-protein,0.696
HSP70-4,HSP90-7,protein-protein,0.88
APRR1,GI,protein-protein,0.998
PAO3,PKL,protein-protein,0.635
PKL,ABI5,protein-protein,0.431
PKL,PAO2,protein-protein,0.575
BSH,RAT5,protein-protein,0.519
BSH,HDA9,protein-protein,0.583
BSH,ARP6,protein-protein,0.68
BSH,FY,protein-protein,0.686
BSH,BRM,protein-protein,0.773
BRM,FY,protein-protein,0.405
BRM,ARP9,protein-protein,0.423
BRM,PIE1,protein-protein,0.605
BRM,SWI3D,protein-protein,0.702
BRM,SWI3B,protein-protein,0.711
BRM,SWI3A,protein-protein,0.755
BRM,ARP4,protein-protein,0.802
BRM,SWI3C,protein-protein,0.937
FY,SWI3B,protein-protein,0.606
FY,SWI3C,protein-protein,0.606
FY,SWI3D,protein-protein,0.606
FY,SWI3A,protein-protein,0.606
SWI3B,RAT5,protein-protein,0.456
SWI3B,ARP6,protein-protein,0.686
ARP6,SWI3A,protein-protein,0.589
ARP6,SWI3D,protein-protein,0.602
ARP6,SWI3C,protein-protein,0.611
ARP6,ARP3,protein-protein,0.688
ARP6,ARP5,protein-protein,0.866
ARP6,ARP9,protein-protein,0.919
SWI3D,RAT5,protein-protein,0.456
SWI3A,RAT5,protein-protein,0.456
ARP5,RAT5,protein-protein,0.619
RAT5,SWI3C,protein-protein,0.456
POL2A,MSI1,protein-protein,0.725
POL2A,DDB1A,protein-protein,0.732
POL2A,RBX1A,protein-protein,0.761
POL2A,RAD51,protein-protein,0.823
POL2A,PCNA,protein-protein,0.964
POL2A,MCM3,protein-protein,0.992
POL2A,POLD2,protein-protein,0.997
POL2A,POLA,protein-protein,0.999
MSI1,FES1,protein-protein,0.424
MSI1,POLD2,protein-protein,0.457
MSI1,MCM3,protein-protein,0.467
MSI1,RNR2A,protein-protein,0.506
MSI1,RCE1,protein-protein,0.507
MSI1,RBX1A,protein-protein,0.51
MSI1,TTG1,protein-protein,0.571
MSI1,ECR1,protein-protein,0.632
MSI1,LWD1,protein-protein,0.698
MSI1,VPS15,protein-protein,0.72
MSI1,POLA,protein-protein,0.733
MSI1,PWP2,protein-protein,0.734
MSI1,PEX7,protein-protein,0.735
MSI1,APRF1,protein-protein,0.735
MSI1,RAPTOR1,protein-protein,0.737
MSI1,SPA2,protein-protein,0.745
MSI1,PRL2,protein-protein,0.756
MSI1,RUP2,protein-protein,0.771
MSI1,PRL1,protein-protein,0.781
MSI1,SPA1,protein-protein,0.785
MSI1,RAE1,protein-protein,0.79
MSI1,SWA1,protein-protein,0.793
MSI1,THO6,protein-protein,0.805
MSI1,PRP19B,protein-protein,0.81
MSI1,THO3,protein-protein,0.872
MSI1,ATCSA-1,protein-protein,0.893
MSI1,VIP3,protein-protein,0.902
MSI1,ALY1,protein-protein,0.983
MSI4,MCM3,protein-protein,0.431
MSI4,RNR2A,protein-protein,0.499
MSI4,RCE1,protein-protein,0.507
MSI4,RBX1A,protein-protein,0.517
MSI4,TTG1,protein-protein,0.556
MSI4,LWD1,protein-protein,0.586
MSI4,FES1,protein-protein,0.607
MSI4,ECR1,protein-protein,0.627
MSI4,VPS15,protein-protein,0.72
MSI4,RAPTOR1,protein-protein,0.729
MSI4,SPA2,protein-protein,0.734
MSI4,PWP2,protein-protein,0.734
MSI4,PEX7,protein-protein,0.737
MSI4,PRP19B,protein-protein,0.759
MSI4,PRL2,protein-protein,0.767
MSI4,APRF1,protein-protein,0.788
MSI4,RUP2,protein-protein,0.789
MSI4,SWA1,protein-protein,0.792
MSI4,RAE1,protein-protein,0.815
MSI4,PRL1,protein-protein,0.816
MSI4,THO6,protein-protein,0.825
MSI4,ALY1,protein-protein,0.838
MSI4,THO3,protein-protein,0.838
MSI4,ATCSA-1,protein-protein,0.846
MSI4,SPA1,protein-protein,0.865
MSI4,VIP3,protein-protein,0.929
PRP19B,RIN1,protein-protein,0.448
PRP19B,ATCSA-1,protein-protein,0.573
PRP19B,RUP2,protein-protein,0.72
PRP19B,RAPTOR1,protein-protein,0.72
PRP19B,APRF1,protein-protein,0.72
PRP19B,VPS15,protein-protein,0.726
PRP19B,PEX7,protein-protein,0.727
PRP19B,PWP2,protein-protein,0.738
PRP19B,SPA1,protein-protein,0.756
PRP19B,SPA2,protein-protein,0.775
PRP19B,DDB1A,protein-protein,0.778
PRP19B,SWA1,protein-protein,0.795
PRP19B,DDB2,protein-protein,0.797
PRP19B,RAE1,protein-protein,0.798
PRP19B,VIP3,protein-protein,0.803
PRP19B,THO3,protein-protein,0.804
PRP19B,THO6,protein-protein,0.883
PRP19B,PRL2,protein-protein,0.995
PRP19B,PRL1,protein-protein,0.996
ATXR3,FES1,protein-protein,0.446
ATXR3,APRF1,protein-protein,0.773
POLD2,RAD51,protein-protein,0.403
POLD2,ATXR5,protein-protein,0.491
POLD2,DDB2,protein-protein,0.54
POLD2,RBX1A,protein-protein,0.627
POLD2,MCM3,protein-protein,0.649
POLD2,DDB1A,protein-protein,0.708
POLD2,PCNA,protein-protein,0.992
POLD2,POLA,protein-protein,0.999
ECR1,TTG1,protein-protein,0.642
ECR1,LWD1,protein-protein,0.653
ECR1,ATCSA-1,protein-protein,0.666
ECR1,DDB2,protein-protein,0.675
ECR1,DDB1A,protein-protein,0.79
ECR1,RBX1A,protein-protein,0.944
ECR1,RCE1,protein-protein,0.995
SUVH5,HDA9,protein-protein,0.488
SUVH5,ATXR6,protein-protein,0.795
SWA1,ATCSA-1,protein-protein,0.634
SWA1,RAE1,protein-protein,0.72
SWA1,SPA2,protein-protein,0.72
SWA1,VPS15,protein-protein,0.72
SWA1,SPA1,protein-protein,0.72
SWA1,RAPTOR1,protein-protein,0.72
SWA1,DDB2,protein-protein,0.721
SWA1,RUP2,protein-protein,0.729
SWA1,DDB1A,protein-protein,0.755
SWA1,VIP3,protein-protein,0.765
SWA1,APRF1,protein-protein,0.768
SWA1,PEX7,protein-protein,0.769
SWA1,PRL1,protein-protein,0.783
SWA1,PRL2,protein-protein,0.796
SWA1,THO3,protein-protein,0.806
SWA1,THO6,protein-protein,0.808
SWA1,PWP2,protein-protein,0.999
RNR2A,DUT,protein-protein,0.491
RNR2A,PCNA,protein-protein,0.522
RNR2A,MCM3,protein-protein,0.723
RAD51,MCM3,protein-protein,0.428
RAD51,POLA,protein-protein,0.488
RAD51,ATXR6,protein-protein,0.548
RAD51,ATXR5,protein-protein,0.55
RAD51,DUT,protein-protein,0.695
PDS,HDA9,protein-protein,0.501
MBD4L,HDA9,protein-protein,0.488
RAE1,ATCSA-1,protein-protein,0.54
RAE1,RAPTOR1,protein-protein,0.72
RAE1,RUP2,protein-protein,0.72
RAE1,PWP2,protein-protein,0.733
RAE1,VPS15,protein-protein,0.735
RAE1,SPA1,protein-protein,0.738
RAE1,PEX7,protein-protein,0.752
RAE1,DDB2,protein-protein,0.755
RAE1,SPA2,protein-protein,0.765
RAE1,APRF1,protein-protein,0.809
RAE1,PRL2,protein-protein,0.81
RAE1,PRL1,protein-protein,0.826
RAE1,VIP3,protein-protein,0.83
RAE1,DDB1A,protein-protein,0.838
RAE1,THO3,protein-protein,0.908
RAE1,THO6,protein-protein,0.971
PRL2,ATCSA-1,protein-protein,0.6
PRL2,VPS15,protein-protein,0.72
PRL2,RAPTOR1,protein-protein,0.72
PRL2,SPA2,protein-protein,0.72
PRL2,DDB1A,protein-protein,0.738
PRL2,PEX7,protein-protein,0.741
PRL2,SPA1,protein-protein,0.743
PRL2,DDB2,protein-protein,0.745
PRL2,RUP2,protein-protein,0.745
PRL2,THO3,protein-protein,0.762
PRL2,PWP2,protein-protein,0.767
PRL2,VIP3,protein-protein,0.773
PRL2,THO6,protein-protein,0.781
PRL2,APRF1,protein-protein,0.793
PRL2,PRL1,protein-protein,0.941
PRL1,RBX1A,protein-protein,0.472
PRL1,ATCSA-1,protein-protein,0.551
PRL1,RUP2,protein-protein,0.72
PRL1,RAPTOR1,protein-protein,0.72
PRL1,VPS15,protein-protein,0.72
PRL1,SPA2,protein-protein,0.735
PRL1,PEX7,protein-protein,0.741
PRL1,SPA1,protein-protein,0.743
PRL1,PWP2,protein-protein,0.745
PRL1,THO3,protein-protein,0.748
PRL1,VIP3,protein-protein,0.792
PRL1,APRF1,protein-protein,0.799
PRL1,THO6,protein-protein,0.824
PRL1,DDB2,protein-protein,0.871
PRL1,DDB1A,protein-protein,0.889
ALY1,DPB,protein-protein,0.976
DDB2,RCE1,protein-protein,0.581
DDB2,APRF1,protein-protein,0.72
DDB2,RAPTOR1,protein-protein,0.72
DDB2,THO3,protein-protein,0.72
DDB2,PWP2,protein-protein,0.72
DDB2,PEX7,protein-protein,0.72
DDB2,VPS15,protein-protein,0.734
DDB2,SPA2,protein-protein,0.768
DDB2,SPA1,protein-protein,0.814
DDB2,VIP3,protein-protein,0.864
DDB2,THO6,protein-protein,0.91
DDB2,RUP2,protein-protein,0.917
DDB2,RBX1A,protein-protein,0.984
DDB2,ATCSA-1,protein-protein,0.991
DDB2,DDB1A,protein-protein,0.999
PIE1,RBX1A,protein-protein,0.443
PIE1,VIP3,protein-protein,0.497
PIE1,FES1,protein-protein,0.548
ARP4,RBX1A,protein-protein,0.541
ARP4,DDB1A,protein-protein,0.597
FES1,RIN1,protein-protein,0.404
HDA9,PAO2,protein-protein,0.501
HDA9,PAO3,protein-protein,0.501
THO6,VPS15,protein-protein,0.72
THO6,PWP2,protein-protein,0.72
THO6,PEX7,protein-protein,0.72
THO6,RAPTOR1,protein-protein,0.72
THO6,RUP2,protein-protein,0.734
THO6,SPA2,protein-protein,0.755
THO6,ATCSA-1,protein-protein,0.766
THO6,APRF1,protein-protein,0.79
THO6,SPA1,protein-protein,0.798
THO6,VIP3,protein-protein,0.84
THO6,MCM3,protein-protein,0.9
THO6,DDB1A,protein-protein,0.946
THO6,THO3,protein-protein,0.999
PWP2,ATCSA-1,protein-protein,0.54
PWP2,VPS15,protein-protein,0.72
PWP2,APRF1,protein-protein,0.72
PWP2,SPA2,protein-protein,0.72
PWP2,RAPTOR1,protein-protein,0.72
PWP2,PEX7,protein-protein,0.72
PWP2,SPA1,protein-protein,0.72
PWP2,VIP3,protein-protein,0.726
PWP2,DDB1A,protein-protein,0.732
PWP2,RUP2,protein-protein,0.737
PWP2,THO3,protein-protein,0.741
RAPTOR1,ATCSA-1,protein-protein,0.542
RAPTOR1,APRF1,protein-protein,0.72
RAPTOR1,VIP3,protein-protein,0.72
RAPTOR1,PEX7,protein-protein,0.72
RAPTOR1,THO3,protein-protein,0.72
RAPTOR1,SPA1,protein-protein,0.732
RAPTOR1,SPA2,protein-protein,0.739
RAPTOR1,RUP2,protein-protein,0.741
RAPTOR1,DDB1A,protein-protein,0.816
RAPTOR1,VPS15,protein-protein,0.854
ATCSA-1,APRF1,protein-protein,0.54
ATCSA-1,VPS15,protein-protein,0.54
ATCSA-1,SPA1,protein-protein,0.54
ATCSA-1,PEX7,protein-protein,0.553
ATCSA-1,SPA2,protein-protein,0.58
ATCSA-1,RCE1,protein-protein,0.608
ATCSA-1,TTG1,protein-protein,0.685
ATCSA-1,LWD1,protein-protein,0.814
ATCSA-1,THO3,protein-protein,0.839
ATCSA-1,RBX1A,protein-protein,0.897
ATCSA-1,VIP3,protein-protein,0.928
ATCSA-1,RUP2,protein-protein,0.963
ATCSA-1,DDB1A,protein-protein,0.998
RBX1A,VIP3,protein-protein,0.404
RBX1A,POLA,protein-protein,0.539
RBX1A,RIN1,protein-protein,0.568
RBX1A,MCM3,protein-protein,0.595
RBX1A,TTG1,protein-protein,0.599
RBX1A,PCNA,protein-protein,0.62
RBX1A,LWD1,protein-protein,0.626
RBX1A,RCE1,protein-protein,0.985
RBX1A,DDB1A,protein-protein,0.989
RUP2,APRF1,protein-protein,0.72
RUP2,VPS15,protein-protein,0.72
RUP2,PEX7,protein-protein,0.72
RUP2,VIP3,protein-protein,0.776
RUP2,SPA1,protein-protein,0.788
RUP2,SPA2,protein-protein,0.788
RUP2,DDB1A,protein-protein,0.801
RUP2,THO3,protein-protein,0.812
POLA,DDB1A,protein-protein,0.555
POLA,PCNA,protein-protein,0.978
POLA,MCM3,protein-protein,0.997
THO3,LWD1,protein-protein,0.525
THO3,VPS15,protein-protein,0.72
THO3,DDB1A,protein-protein,0.72
